,sal,popul,w_years,smoke,sex,age,kids,harm,ill,popul_sq,w_years_sq,popul_ln,educ_ВЫСШЕЕ,educ_ПТУ,educ_ШКОЛА,educ_без образования,marriage_не_состоит,marriage_сожительство,marriage_состоит,school_ИНЫЕ_ВИДЫ,school_ОБЫЧНАЯ_ШКОЛА,school_УГЛУБ,school_без образования,satisf_ДА,satisf_И_ДА_И_НЕТ,satisf_НЕТ,occup_ВЫСШАЯ_КВАЛИФИКАЦИЯ,occup_ГОС_СЛУЖАЩИЙ,occup_КВАЛ_РАБОЧИЕ,occup_НЕКВАЛ_РАБОЧИЕ,occup_ОФИСНЫЕ_РАБОЧИЕ,occup_ТОРГОВЛЯ,occup_без_квалификации
0,47000.0,11900.0,30.0,1.0,0,49.0,2.0,1.0,0.0,141610000.0,900.0,9.38429367909962,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
1,30000.0,11900.0,12.0,1.0,1,36.0,2.0,0.0,0.0,141610000.0,144.0,9.38429367909962,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
2,0.0,11900.0,40.0,0.0,0,78.0,0.0,0.0,0.0,141610000.0,1600.0,9.38429367909962,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
3,0.0,11900.0,46.0,0.0,0,76.0,3.0,0.0,0.0,141610000.0,2116.0,9.38429367909962,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
4,0.0,11900.0,35.0,0.0,1,54.0,7.0,0.0,0.0,141610000.0,1225.0,9.38429367909962,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
6,16000.0,11900.0,9.0,0.0,1,27.0,0.0,0.0,0.0,141610000.0,81.0,9.38429367909962,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
7,16000.0,11900.0,42.0,0.0,0,68.0,2.0,0.0,0.0,141610000.0,1764.0,9.38429367909962,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
8,27500.0,11900.0,39.0,0.0,1,65.0,3.0,0.0,0.0,141610000.0,1521.0,9.38429367909962,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
10,60000.0,11900.0,14.0,1.0,0,37.0,1.0,0.0,0.0,141610000.0,196.0,9.38429367909962,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
11,60000.0,11900.0,12.0,1.0,1,32.0,0.0,0.0,0.0,141610000.0,144.0,9.38429367909962,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
12,12000.0,11900.0,37.0,0.0,0,54.0,2.0,1.0,0.0,141610000.0,1369.0,9.38429367909962,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
13,0.0,2800.0,42.0,0.0,0,64.0,3.0,0.0,0.0,7840000.0,1764.0,7.937374696163295,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
14,0.0,2800.0,46.0,0.0,1,68.0,3.0,0.0,0.0,7840000.0,2116.0,7.937374696163295,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
16,20000.0,2800.0,22.0,1.0,0,43.0,2.0,0.0,0.0,7840000.0,484.0,7.937374696163295,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
17,0.0,2800.0,29.0,0.0,0,69.0,2.0,0.0,0.0,7840000.0,841.0,7.937374696163295,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
18,0.0,2800.0,44.0,0.0,0,68.0,2.0,0.0,0.0,7840000.0,1936.0,7.937374696163295,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
19,0.0,2800.0,28.0,0.0,0,69.0,3.0,0.0,0.0,7840000.0,784.0,7.937374696163295,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
20,49000.0,2800.0,19.0,1.0,0,41.0,2.0,1.0,90.0,7840000.0,361.0,7.937374696163295,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
21,105000.0,2800.0,24.0,0.0,0,46.0,1.0,1.0,0.0,7840000.0,576.0,7.937374696163295,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
22,20000.0,2200.0,42.0,0.0,0,59.0,3.0,0.0,20.0,4840000.0,1764.0,7.696212639346407,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
23,50000.0,2200.0,30.0,1.0,1,53.0,1.0,0.0,14.0,4840000.0,900.0,7.696212639346407,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
24,0.0,2200.0,10.0,1.0,1,41.0,0.0,0.0,0.0,4840000.0,100.0,7.696212639346407,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
25,37000.0,2200.0,22.0,1.0,0,38.0,2.0,0.0,20.0,4840000.0,484.0,7.696212639346407,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
26,0.0,2200.0,21.0,0.0,0,58.0,0.0,0.0,0.0,4840000.0,441.0,7.696212639346407,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
27,50000.0,2200.0,42.0,0.0,1,60.0,0.0,0.0,0.0,4840000.0,1764.0,7.696212639346407,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
28,70000.0,2200.0,29.0,1.0,1,53.0,1.0,0.0,10.0,4840000.0,841.0,7.696212639346407,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
29,24000.0,1700.0,17.0,0.0,0,45.0,1.0,0.0,35.0,2890000.0,289.0,7.438383530044307,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
30,0.0,1700.0,21.0,0.0,0,67.0,0.0,0.0,0.0,2890000.0,441.0,7.438383530044307,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
31,25000.0,1700.0,20.0,1.0,0,45.0,1.0,0.0,0.0,2890000.0,400.0,7.438383530044307,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
32,0.0,700.0,35.0,0.0,0,67.0,2.0,0.0,0.0,490000.0,1225.0,6.551080335043404,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
33,0.0,700.0,41.0,0.0,1,83.0,2.0,0.0,0.0,490000.0,1681.0,6.551080335043404,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
35,0.0,700.0,30.0,0.0,0,73.0,2.0,0.0,0.0,490000.0,900.0,6.551080335043404,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
36,0.0,700.0,41.0,0.0,1,76.0,2.0,0.0,0.0,490000.0,1681.0,6.551080335043404,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
37,35000.0,700.0,25.0,0.0,0,49.0,2.0,0.0,0.0,490000.0,625.0,6.551080335043404,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
38,20000.0,700.0,30.0,1.0,1,52.0,2.0,0.0,0.0,490000.0,900.0,6.551080335043404,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
39,80000.0,700.0,30.0,1.0,1,50.0,1.0,0.0,0.0,490000.0,900.0,6.551080335043404,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
40,0.0,1099300.0,47.0,0.0,0,85.0,1.0,0.0,0.0,1208460490000.0,2209.0,13.910184171566955,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
41,40000.0,1099300.0,16.0,0.0,0,35.0,1.0,0.0,15.0,1208460490000.0,256.0,13.910184171566955,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
42,12000.0,1099300.0,41.0,1.0,0,62.0,1.0,0.0,0.0,1208460490000.0,1681.0,13.910184171566955,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
43,0.0,1099300.0,46.0,0.0,1,82.0,2.0,0.0,0.0,1208460490000.0,2116.0,13.910184171566955,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
44,0.0,1099300.0,30.0,0.0,0,82.0,2.0,0.0,0.0,1208460490000.0,900.0,13.910184171566955,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
45,50000.0,1099300.0,22.0,0.0,0,57.0,2.0,0.0,10.0,1208460490000.0,484.0,13.910184171566955,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
46,30000.0,1099300.0,11.0,1.0,1,40.0,0.0,0.0,20.0,1208460490000.0,121.0,13.910184171566955,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
47,30000.0,1099300.0,0.0,0.0,1,36.0,0.0,0.0,10.0,1208460490000.0,0.0,13.910184171566955,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
48,130000.0,1099300.0,34.0,0.0,1,51.0,1.0,0.0,0.0,1208460490000.0,1156.0,13.910184171566955,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
49,70000.0,1099300.0,34.0,0.0,0,49.0,1.0,0.0,0.0,1208460490000.0,1156.0,13.910184171566955,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
50,0.0,1099300.0,25.0,0.0,0,69.0,3.0,0.0,0.0,1208460490000.0,625.0,13.910184171566955,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
51,60000.0,1099300.0,20.0,1.0,1,37.0,0.0,0.0,0.0,1208460490000.0,400.0,13.910184171566955,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
52,100000.0,1099300.0,17.0,1.0,1,35.0,0.0,0.0,0.0,1208460490000.0,289.0,13.910184171566955,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
53,60000.0,1099300.0,8.0,1.0,1,33.0,1.0,0.0,0.0,1208460490000.0,64.0,13.910184171566955,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
54,15000.0,1099300.0,27.0,0.0,1,54.0,2.0,0.0,0.0,1208460490000.0,729.0,13.910184171566955,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
55,0.0,1099300.0,40.0,0.0,0,92.0,3.0,0.0,0.0,1208460490000.0,1600.0,13.910184171566955,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
56,0.0,1099300.0,10.0,0.0,0,94.0,2.0,0.0,0.0,1208460490000.0,100.0,13.910184171566955,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57,0.0,1099300.0,40.0,1.0,0,72.0,1.0,0.0,0.0,1208460490000.0,1600.0,13.910184171566955,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
58,28000.0,1099300.0,14.0,0.0,0,46.0,2.0,0.0,0.0,1208460490000.0,196.0,13.910184171566955,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
59,0.0,1099300.0,42.0,0.0,0,78.0,2.0,0.0,0.0,1208460490000.0,1764.0,13.910184171566955,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
60,25000.0,1099300.0,24.0,0.0,0,49.0,1.0,0.0,17.0,1208460490000.0,576.0,13.910184171566955,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
61,0.0,1099300.0,46.0,0.0,0,71.0,2.0,0.0,0.0,1208460490000.0,2116.0,13.910184171566955,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
62,0.0,1099300.0,44.0,0.0,1,74.0,2.0,0.0,0.0,1208460490000.0,1936.0,13.910184171566955,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
65,0.0,1099300.0,44.0,0.0,0,84.0,1.0,0.0,0.0,1208460490000.0,1936.0,13.910184171566955,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
67,0.0,1099300.0,42.0,0.0,0,66.0,1.0,0.0,0.0,1208460490000.0,1764.0,13.910184171566955,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
68,40000.0,1099300.0,25.0,0.0,1,39.0,1.0,0.0,0.0,1208460490000.0,625.0,13.910184171566955,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
69,20000.0,1099300.0,36.0,0.0,0,59.0,3.0,0.0,15.0,1208460490000.0,1296.0,13.910184171566955,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
70,0.0,1099300.0,46.0,0.0,0,84.0,2.0,0.0,0.0,1208460490000.0,2116.0,13.910184171566955,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
71,0.0,1099300.0,29.0,0.0,0,66.0,3.0,0.0,0.0,1208460490000.0,841.0,13.910184171566955,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
72,0.0,1099300.0,40.0,0.0,1,71.0,3.0,0.0,0.0,1208460490000.0,1600.0,13.910184171566955,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
74,0.0,1099300.0,51.0,0.0,0,84.0,0.0,0.0,0.0,1208460490000.0,2601.0,13.910184171566955,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
75,0.0,1099300.0,11.0,0.0,0,32.0,4.0,0.0,0.0,1208460490000.0,121.0,13.910184171566955,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
77,0.0,1099300.0,45.0,0.0,0,75.0,1.0,0.0,0.0,1208460490000.0,2025.0,13.910184171566955,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
80,0.0,1099300.0,34.0,0.0,0,59.0,2.0,0.0,0.0,1208460490000.0,1156.0,13.910184171566955,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
82,40000.0,87800.0,21.0,0.0,0,39.0,2.0,0.0,20.0,7708840000.0,441.0,11.382816779623209,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
83,0.0,87800.0,40.0,0.0,0,81.0,2.0,0.0,0.0,7708840000.0,1600.0,11.382816779623209,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
84,20000.0,87800.0,46.0,0.0,0,65.0,2.0,0.0,0.0,7708840000.0,2116.0,11.382816779623209,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
85,27000.0,87800.0,19.0,0.0,0,42.0,2.0,0.0,0.0,7708840000.0,361.0,11.382816779623209,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
86,30000.0,87800.0,4.0,0.0,0,29.0,0.0,0.0,0.0,7708840000.0,16.0,11.382816779623209,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
87,0.0,87800.0,42.0,0.0,0,64.0,1.0,0.0,0.0,7708840000.0,1764.0,11.382816779623209,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
88,0.0,87800.0,43.0,0.0,0,69.0,1.0,0.0,0.0,7708840000.0,1849.0,11.382816779623209,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
89,0.0,87800.0,49.0,0.0,1,73.0,1.0,0.0,0.0,7708840000.0,2401.0,11.382816779623209,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
90,0.0,87800.0,15.0,0.0,0,43.0,4.0,0.0,0.0,7708840000.0,225.0,11.382816779623209,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
91,20000.0,87800.0,29.0,1.0,1,58.0,1.0,0.0,0.0,7708840000.0,841.0,11.382816779623209,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
92,15000.0,87800.0,41.0,0.0,0,60.0,1.0,0.0,5.0,7708840000.0,1681.0,11.382816779623209,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
93,18000.0,87800.0,40.0,1.0,0,62.0,1.0,0.0,15.0,7708840000.0,1600.0,11.382816779623209,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
94,32000.0,87800.0,47.0,0.0,0,68.0,1.0,0.0,12.0,7708840000.0,2209.0,11.382816779623209,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
95,0.0,87800.0,32.0,0.0,0,84.0,2.0,0.0,0.0,7708840000.0,1024.0,11.382816779623209,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
96,8900.0,87800.0,38.0,0.0,0,59.0,1.0,0.0,0.0,7708840000.0,1444.0,11.382816779623209,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
97,0.0,87800.0,43.0,0.0,0,65.0,3.0,0.0,0.0,7708840000.0,1849.0,11.382816779623209,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
98,30000.0,87800.0,23.0,0.0,0,44.0,2.0,0.0,0.0,7708840000.0,529.0,11.382816779623209,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
99,0.0,87800.0,34.0,0.0,0,70.0,4.0,0.0,0.0,7708840000.0,1156.0,11.382816779623209,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
100,0.0,87800.0,31.0,0.0,0,49.0,1.0,0.0,0.0,7708840000.0,961.0,11.382816779623209,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
101,25000.0,87800.0,17.0,0.0,0,41.0,1.0,0.0,10.0,7708840000.0,289.0,11.382816779623209,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
102,0.0,87800.0,44.0,0.0,0,70.0,0.0,0.0,0.0,7708840000.0,1936.0,11.382816779623209,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
103,0.0,87800.0,37.0,0.0,0,65.0,2.0,0.0,0.0,7708840000.0,1369.0,11.382816779623209,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
104,0.0,87800.0,39.0,0.0,1,66.0,2.0,0.0,0.0,7708840000.0,1521.0,11.382816779623209,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
105,25000.0,87800.0,33.0,0.0,0,67.0,2.0,0.0,0.0,7708840000.0,1089.0,11.382816779623209,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
107,23000.0,87800.0,9.0,0.0,0,33.0,1.0,0.0,10.0,7708840000.0,81.0,11.382816779623209,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
108,60000.0,87800.0,50.0,0.0,0,75.0,1.0,0.0,0.0,7708840000.0,2500.0,11.382816779623209,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
110,0.0,87800.0,36.0,1.0,0,71.0,1.0,0.0,0.0,7708840000.0,1296.0,11.382816779623209,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
112,0.0,87800.0,41.0,0.0,0,75.0,2.0,0.0,0.0,7708840000.0,1681.0,11.382816779623209,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
113,15900.0,87800.0,34.0,0.0,0,53.0,0.0,0.0,12.0,7708840000.0,1156.0,11.382816779623209,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
114,30000.0,87800.0,24.0,0.0,0,46.0,1.0,1.0,0.0,7708840000.0,576.0,11.382816779623209,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
115,0.0,87800.0,32.0,0.0,0,73.0,1.0,0.0,0.0,7708840000.0,1024.0,11.382816779623209,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
120,0.0,87800.0,20.0,1.0,1,58.0,0.0,0.0,0.0,7708840000.0,400.0,11.382816779623209,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
