,sal,popul,w_years,smoke,sex,age,kids,harm,ill,popul_sq,w_years_sq,popul_ln,educ_ВЫСШЕЕ,educ_ПТУ,educ_ШКОЛА,educ_без образования,marriage_не_состоит,marriage_сожительство,marriage_состоит,school_ИНЫЕ_ВИДЫ,school_ОБЫЧНАЯ_ШКОЛА,school_УГЛУБ,school_без образования,satisf_ДА,satisf_И_ДА_И_НЕТ,satisf_НЕТ,occup_ВЫСШАЯ_КВАЛИФИКАЦИЯ,occup_ГОС_СЛУЖАЩИЙ,occup_КВАЛ_РАБОЧИЕ,occup_НЕКВАЛ_РАБОЧИЕ,occup_ОФИСНЫЕ_РАБОЧИЕ,occup_ТОРГОВЛЯ,occup_без_квалификации
239,0.0,23600.0,0.0,0.0,0,30.0,3.0,0.0,0.0,556960000.0,0.0,10.069001991013701,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
240,12700.0,23600.0,4.0,0.0,0,27.0,1.0,0.0,0.0,556960000.0,16.0,10.069001991013701,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
241,0.0,23600.0,40.0,0.0,0,84.0,1.0,0.0,0.0,556960000.0,1600.0,10.069001991013701,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
242,0.0,23600.0,27.0,0.0,0,75.0,2.0,0.0,0.0,556960000.0,729.0,10.069001991013701,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
243,0.0,23600.0,38.0,0.0,1,75.0,2.0,0.0,0.0,556960000.0,1444.0,10.069001991013701,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
244,13000.0,23600.0,28.0,0.0,0,52.0,2.0,0.0,28.0,556960000.0,784.0,10.069001991013701,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
245,90000.0,23600.0,41.0,0.0,1,56.0,2.0,0.0,0.0,556960000.0,1681.0,10.069001991013701,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
246,50000.0,23600.0,8.0,1.0,1,32.0,0.0,0.0,0.0,556960000.0,64.0,10.069001991013701,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
247,0.0,23600.0,36.0,0.0,0,83.0,2.0,0.0,0.0,556960000.0,1296.0,10.069001991013701,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
248,0.0,30.0,38.0,0.0,0,72.0,1.0,0.0,0.0,900.0,1444.0,3.4011973816621555,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
249,0.0,30.0,39.0,0.0,1,74.0,2.0,0.0,0.0,900.0,1521.0,3.4011973816621555,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
250,0.0,30.0,38.0,0.0,0,82.0,2.0,0.0,0.0,900.0,1444.0,3.4011973816621555,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
251,45000.0,500.0,26.0,0.0,0,50.0,1.0,0.0,0.0,250000.0,676.0,6.214608098422191,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
252,0.0,500.0,6.0,0.0,0,29.0,1.0,0.0,0.0,250000.0,36.0,6.214608098422191,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
253,0.0,30.0,7.0,0.0,0,55.0,3.0,0.0,0.0,900.0,49.0,3.4011973816621555,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
254,0.0,30.0,40.0,0.0,0,81.0,1.0,0.0,0.0,900.0,1600.0,3.4011973816621555,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
256,0.0,30.0,40.0,0.0,0,66.0,2.0,0.0,0.0,900.0,1600.0,3.4011973816621555,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
257,15000.0,6100.0,42.0,0.0,0,65.0,2.0,0.0,0.0,37210000.0,1764.0,8.716044050161402,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
258,0.0,6100.0,42.0,0.0,0,72.0,1.0,0.0,0.0,37210000.0,1764.0,8.716044050161402,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
259,0.0,6100.0,35.0,0.0,1,68.0,1.0,0.0,0.0,37210000.0,1225.0,8.716044050161402,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
260,0.0,6100.0,15.0,0.0,0,53.0,1.0,0.0,0.0,37210000.0,225.0,8.716044050161402,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
262,0.0,6100.0,38.0,0.0,0,83.0,2.0,0.0,0.0,37210000.0,1444.0,8.716044050161402,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
263,0.0,6100.0,40.0,0.0,0,82.0,2.0,0.0,0.0,37210000.0,1600.0,8.716044050161402,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
264,13000.0,6100.0,32.0,1.0,1,52.0,2.0,0.0,0.0,37210000.0,1024.0,8.716044050161402,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
265,0.0,6100.0,39.0,0.0,0,59.0,2.0,0.0,0.0,37210000.0,1521.0,8.716044050161402,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
267,0.0,6100.0,25.0,0.0,0,62.0,2.0,0.0,0.0,37210000.0,625.0,8.716044050161402,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
268,0.0,6100.0,30.0,0.0,1,65.0,2.0,0.0,0.0,37210000.0,900.0,8.716044050161402,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
269,0.0,6100.0,46.0,0.0,0,66.0,2.0,0.0,0.0,37210000.0,2116.0,8.716044050161402,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
270,20000.0,6100.0,17.0,0.0,0,42.0,2.0,0.0,0.0,37210000.0,289.0,8.716044050161402,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
271,0.0,6100.0,28.0,0.0,0,68.0,3.0,0.0,0.0,37210000.0,784.0,8.716044050161402,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
272,24000.0,6100.0,34.0,0.0,0,54.0,1.0,0.0,0.0,37210000.0,1156.0,8.716044050161402,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
273,0.0,6100.0,30.0,0.0,0,60.0,2.0,0.0,0.0,37210000.0,900.0,8.716044050161402,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
274,0.0,6100.0,39.0,0.0,1,64.0,2.0,0.0,0.0,37210000.0,1521.0,8.716044050161402,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
275,0.0,6100.0,36.0,0.0,0,70.0,3.0,0.0,0.0,37210000.0,1296.0,8.716044050161402,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
276,0.0,6100.0,6.0,1.0,1,34.0,1.0,0.0,0.0,37210000.0,36.0,8.716044050161402,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
277,29000.0,6100.0,32.0,0.0,0,55.0,0.0,1.0,0.0,37210000.0,1024.0,8.716044050161402,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
278,0.0,6100.0,40.0,0.0,0,64.0,2.0,0.0,0.0,37210000.0,1600.0,8.716044050161402,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
279,0.0,6100.0,39.0,0.0,0,74.0,2.0,0.0,0.0,37210000.0,1521.0,8.716044050161402,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
280,0.0,6100.0,30.0,0.0,0,59.0,0.0,0.0,0.0,37210000.0,900.0,8.716044050161402,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
281,0.0,6100.0,41.0,0.0,0,84.0,2.0,0.0,0.0,37210000.0,1681.0,8.716044050161402,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
282,20000.0,6100.0,31.0,0.0,0,58.0,2.0,0.0,0.0,37210000.0,961.0,8.716044050161402,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
283,15000.0,6100.0,31.0,1.0,1,58.0,2.0,0.0,0.0,37210000.0,961.0,8.716044050161402,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
284,0.0,6100.0,43.0,0.0,0,65.0,2.0,0.0,0.0,37210000.0,1849.0,8.716044050161402,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
285,0.0,6100.0,43.0,0.0,1,64.0,2.0,0.0,0.0,37210000.0,1849.0,8.716044050161402,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
287,0.0,1500.0,24.0,0.0,0,70.0,1.0,0.0,0.0,2250000.0,576.0,7.313220387090301,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
288,15000.0,1500.0,37.0,1.0,1,59.0,2.0,0.0,0.0,2250000.0,1369.0,7.313220387090301,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
290,0.0,1500.0,52.0,0.0,0,81.0,1.0,0.0,0.0,2250000.0,2704.0,7.313220387090301,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
291,40000.0,1500.0,37.0,0.0,1,59.0,2.0,0.0,10.0,2250000.0,1369.0,7.313220387090301,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
292,0.0,1500.0,33.0,0.0,0,58.0,2.0,0.0,0.0,2250000.0,1089.0,7.313220387090301,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
293,9000.0,1500.0,14.0,0.0,0,35.0,3.0,0.0,0.0,2250000.0,196.0,7.313220387090301,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
294,15000.0,1500.0,8.0,0.0,0,34.0,2.0,0.0,0.0,2250000.0,64.0,7.313220387090301,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
295,0.0,1500.0,44.0,0.0,0,60.0,2.0,0.0,0.0,2250000.0,1936.0,7.313220387090301,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
296,0.0,1500.0,34.0,0.0,1,63.0,2.0,0.0,0.0,2250000.0,1156.0,7.313220387090301,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
297,0.0,1500.0,17.0,0.0,0,40.0,2.0,0.0,0.0,2250000.0,289.0,7.313220387090301,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
298,13000.0,1500.0,5.0,0.0,0,40.0,2.0,0.0,0.0,2250000.0,25.0,7.313220387090301,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
299,0.0,900.0,12.0,0.0,0,37.0,4.0,0.0,0.0,810000.0,144.0,6.802394763324311,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
300,0.0,900.0,27.0,0.0,1,62.0,2.0,0.0,0.0,810000.0,729.0,6.802394763324311,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
301,0.0,900.0,36.0,0.0,0,57.0,2.0,0.0,0.0,810000.0,1296.0,6.802394763324311,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
302,0.0,900.0,12.0,1.0,1,36.0,0.0,0.0,0.0,810000.0,144.0,6.802394763324311,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
303,35000.0,900.0,30.0,0.0,0,51.0,2.0,0.0,0.0,810000.0,900.0,6.802394763324311,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
304,0.0,900.0,35.0,0.0,0,63.0,2.0,0.0,0.0,810000.0,1225.0,6.802394763324311,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
305,0.0,900.0,37.0,0.0,1,63.0,2.0,0.0,0.0,810000.0,1369.0,6.802394763324311,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
306,0.0,900.0,8.0,0.0,0,55.0,6.0,0.0,0.0,810000.0,64.0,6.802394763324311,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
310,43000.0,600.0,29.0,0.0,0,51.0,2.0,1.0,0.0,360000.0,841.0,6.396929655216146,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
311,50000.0,600.0,30.0,1.0,1,48.0,2.0,0.0,0.0,360000.0,900.0,6.396929655216146,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
312,13000.0,600.0,42.0,0.0,0,60.0,2.0,0.0,0.0,360000.0,1764.0,6.396929655216146,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
313,10000.0,600.0,44.0,0.0,1,61.0,2.0,0.0,0.0,360000.0,1936.0,6.396929655216146,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
315,0.0,600.0,38.0,0.0,0,66.0,2.0,0.0,0.0,360000.0,1444.0,6.396929655216146,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
316,45000.0,600.0,32.0,1.0,1,62.0,2.0,0.0,0.0,360000.0,1024.0,6.396929655216146,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
317,13400.0,600.0,32.0,0.0,0,58.0,2.0,1.0,30.0,360000.0,1024.0,6.396929655216146,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
318,0.0,30.0,37.0,0.0,0,67.0,2.0,0.0,0.0,900.0,1369.0,3.4011973816621555,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
319,0.0,30.0,42.0,0.0,0,72.0,1.0,0.0,0.0,900.0,1764.0,3.4011973816621555,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
320,10000.0,30.0,15.0,0.0,0,45.0,2.0,0.0,0.0,900.0,225.0,3.4011973816621555,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
321,0.0,1308700.0,40.0,0.0,0,66.0,1.0,0.0,0.0,1712695690000.0,1600.0,14.084544836043571,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
322,50000.0,1308700.0,14.0,0.0,0,40.0,1.0,0.0,0.0,1712695690000.0,196.0,14.084544836043571,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
324,40000.0,1308700.0,8.0,0.0,1,34.0,0.0,0.0,0.0,1712695690000.0,64.0,14.084544836043571,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
325,27000.0,1308700.0,6.0,0.0,0,28.0,0.0,0.0,12.0,1712695690000.0,36.0,14.084544836043571,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
326,24600.0,1308700.0,18.0,1.0,1,58.0,0.0,0.0,21.0,1712695690000.0,324.0,14.084544836043571,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
327,150000.0,1308700.0,27.0,1.0,1,44.0,2.0,0.0,0.0,1712695690000.0,729.0,14.084544836043571,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
328,80000.0,1308700.0,17.0,0.0,1,52.0,4.0,0.0,0.0,1712695690000.0,289.0,14.084544836043571,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
329,80000.0,1308700.0,32.0,0.0,0,48.0,3.0,1.0,0.0,1712695690000.0,1024.0,14.084544836043571,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
330,0.0,1308700.0,29.0,0.0,0,69.0,2.0,0.0,0.0,1712695690000.0,841.0,14.084544836043571,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
331,0.0,1308700.0,42.0,0.0,1,69.0,2.0,0.0,0.0,1712695690000.0,1764.0,14.084544836043571,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
332,80000.0,1308700.0,0.0,1.0,1,37.0,2.0,0.0,0.0,1712695690000.0,0.0,14.084544836043571,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
333,0.0,1308700.0,45.0,1.0,1,68.0,2.0,0.0,0.0,1712695690000.0,2025.0,14.084544836043571,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
334,0.0,1308700.0,33.0,0.0,0,64.0,2.0,0.0,0.0,1712695690000.0,1089.0,14.084544836043571,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
335,0.0,1308700.0,45.0,0.0,1,69.0,3.0,0.0,0.0,1712695690000.0,2025.0,14.084544836043571,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
336,0.0,1308700.0,40.0,0.0,0,70.0,3.0,0.0,0.0,1712695690000.0,1600.0,14.084544836043571,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
337,60000.0,1308700.0,10.0,1.0,0,35.0,1.0,0.0,0.0,1712695690000.0,100.0,14.084544836043571,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
338,0.0,1308700.0,36.0,0.0,0,58.0,2.0,0.0,0.0,1712695690000.0,1296.0,14.084544836043571,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
339,45000.0,1308700.0,41.0,1.0,1,59.0,2.0,0.0,10.0,1712695690000.0,1681.0,14.084544836043571,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
340,0.0,1308700.0,41.0,0.0,0,75.0,2.0,0.0,0.0,1712695690000.0,1681.0,14.084544836043571,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
341,33000.0,1308700.0,30.0,0.0,0,53.0,1.0,1.0,7.0,1712695690000.0,900.0,14.084544836043571,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
342,25000.0,1308700.0,10.0,0.0,0,45.0,2.0,0.0,0.0,1712695690000.0,100.0,14.084544836043571,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
343,30000.0,1308700.0,34.0,0.0,0,59.0,1.0,0.0,7.0,1712695690000.0,1156.0,14.084544836043571,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
344,30000.0,1308700.0,7.0,1.0,1,30.0,0.0,0.0,0.0,1712695690000.0,49.0,14.084544836043571,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
345,25000.0,1308700.0,40.0,0.0,0,63.0,2.0,0.0,0.0,1712695690000.0,1600.0,14.084544836043571,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
346,0.0,1308700.0,7.0,1.0,1,31.0,0.0,0.0,0.0,1712695690000.0,49.0,14.084544836043571,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
347,40000.0,1308700.0,14.0,1.0,1,38.0,1.0,0.0,0.0,1712695690000.0,196.0,14.084544836043571,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
348,0.0,1308700.0,49.0,0.0,0,84.0,0.0,0.0,0.0,1712695690000.0,2401.0,14.084544836043571,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
349,0.0,1308700.0,42.0,0.0,1,87.0,1.0,0.0,0.0,1712695690000.0,1764.0,14.084544836043571,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
351,37000.0,1308700.0,32.0,0.0,0,54.0,1.0,0.0,0.0,1712695690000.0,1024.0,14.084544836043571,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
352,30000.0,1308700.0,4.0,0.0,1,27.0,0.0,0.0,0.0,1712695690000.0,16.0,14.084544836043571,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
353,28000.0,1308700.0,20.0,0.0,0,50.0,1.0,0.0,0.0,1712695690000.0,400.0,14.084544836043571,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
354,35000.0,1308700.0,26.0,0.0,1,56.0,1.0,0.0,0.0,1712695690000.0,676.0,14.084544836043571,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
356,40000.0,1308700.0,8.0,0.0,1,30.0,0.0,0.0,0.0,1712695690000.0,64.0,14.084544836043571,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
357,0.0,1308700.0,17.0,0.0,0,58.0,1.0,0.0,0.0,1712695690000.0,289.0,14.084544836043571,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
